region,position,month,day,year,region.1,streams,artist,track_name,track_id,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
global,29,1,1,2017,global,1215550,Shawn Mendes,Mercy,4TZy1wLyHec06pwgFYDh1a,208733,4,0.469,0.68,11,-4.921,0,0.117,0.13699999999999998,0.0,0.11,0.374,147.734
global,30,1,1,2017,global,1164530,CNCO,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,222560,4,0.7609999999999999,0.838,4,-3.073,0,0.0502,0.4,0.0,0.17600000000000002,0.71,93.974
global,31,1,1,2017,global,1149938,DRAM,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,225205,4,0.8859999999999999,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99
global,32,1,1,2017,global,1112074,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,197933,4,0.6629999999999999,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965
global,33,1,1,2017,global,1112032,J Balvin,Safari,6rQSrBHf7HlZjtcMZ4S4bO,205600,4,0.508,0.687,0,-4.3610000000000015,1,0.326,0.551,3.41e-06,0.126,0.555,180.044
global,34,1,1,2017,global,1094062,Calvin Harris,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,222160,4,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.14800000000000002,0.465,123.963
global,35,1,1,2017,global,1059658,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,214480,4,0.8029999999999999,0.585,8,-5.8610000000000015,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
global,36,1,1,2017,global,1031598,Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,230227,4,0.573,0.7390000000000001,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085
global,37,1,1,2017,global,1016899,Ricky Martin,Vente Pa' Ca,7DM4BPaS7uofFul3ywMe46,259196,4,0.6629999999999999,0.92,11,-4.07,0,0.226,0.0043100000000000005,1.6899999999999994e-05,0.101,0.5329999999999999,99.935
global,38,1,1,2017,global,1003894,The Vamps,All Night,4b4KcovePX8Ke2cLIQTLM0,197640,4,0.544,0.809,8,-5.098,1,0.0363,0.0038,0.0,0.32299999999999995,0.448,145.017
global,39,1,1,2017,global,971615,Jonas Blue,By Your Side,1D3ODoXHBLpdxolZRHWV1j,201254,4,0.696,0.743,6,-3.838,1,0.0331,0.0778,0.0,0.0581,0.644,122.978
global,40,1,1,2017,global,971342,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,217707,4,0.728,0.563,1,-8.052999999999999,0,0.134,0.621,0.0,0.179,0.35200000000000004,100.017
global,41,1,1,2017,global,963128,Aminé,Caroline,7FB8l7UA1HKqnuSLjP9qDc,209640,4,0.952,0.318,10,-10.357,1,0.467,0.174,0.0,0.205,0.665,120.077
global,42,1,1,2017,global,959972,Sage The Gemini,Now and Later,08WPvDEsHvTFuB9w8tC2OS,193181,4,0.7809999999999999,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059
global,43,1,1,2017,global,950832,John Legend,Love Me Now,6nxQdXa1uAL0rY72wPZu89,210293,4,0.488,0.762,8,-3.842,1,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889
global,44,1,1,2017,global,949200,Nevada,The Mack,7aV2mflaASUmGhCErm7kBO,167038,4,0.7070000000000001,0.883,0,-4.2810000000000015,1,0.0602,0.0707,0.0,0.23,0.541,106.031
global,45,1,1,2017,global,936813,Alan Walker,Alone,0JiVRyTJcJnmlwCZ854K4p,161200,4,0.6759999999999999,0.929,10,-3.194,1,0.0458,0.18600000000000005,0.000405,0.121,0.157,97.019
global,46,1,1,2017,global,899368,Rihanna,Work,14WWzenpaEgQZlqPq2nk4v,219320,4,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.5579999999999999,91.974
global,47,1,1,2017,global,893174,Zion & Lennox,Otra Vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,209453,4,0.8320000000000001,0.772,10,-5.4289999999999985,1,0.1,0.0559,0.0004860000000000001,0.44,0.7040000000000001,96.016
global,48,1,1,2017,global,892922,Zara Larsson,I Would Like,4Q4jmPHwu0wrJvqrld0FQ6,226720,4,0.486,0.713,2,-3.949,0,0.0524,0.0853,0.0,0.0839,0.297,121.028
global,49,1,1,2017,global,873494,Alok,Hear Me Now,1a5Yu5L18qNxVhXx38njON,192846,4,0.789,0.442,11,-7.8439999999999985,1,0.0421,0.586,0.00366,0.0927,0.45,121.971
global,50,1,1,2017,global,868259,Robin Schulz,Shed a Light,1cG0umU5TKStygKsPFZ9pY,191379,4,0.483,0.787,8,-5.244,1,0.102,0.112,0.0,0.257,0.58,122.058
global,51,1,1,2017,global,859929,Big Sean,Bounce Back,0SGkqnVQo9KPytSri1H6cF,222360,4,0.77,0.5670000000000001,2,-5.698,1,0.175,0.105,0.0,0.125,0.26,81.477
global,52,1,1,2017,global,858762,Justin Bieber,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,233720,4,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418
global,53,1,1,2017,global,830889,DNCE,Cake By The Ocean,2aFiaMXmWsM3Vj72F9ksBl,219147,4,0.774,0.764,4,-5.445,0,0.0518,0.156,0.0,0.0383,0.912,118.997
global,54,1,1,2017,global,829599,The Weeknd,Party Monster,4F7A0DXBrmUAkp32uenhZt,249213,4,0.5720000000000001,0.631,1,-8.389,1,0.104,0.188,2.31e-05,0.259,0.219,77.51899999999998
global,55,1,1,2017,global,827170,Justin Bieber,Sorry,69bp2EbF7Q2rqc5N3ylezZ,200787,4,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945
global,56,1,1,2017,global,825398,Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW,214507,4,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.5660000000000001,74.98899999999998
global,57,1,1,2017,global,810362,Carlos Vives,La Bicicleta,0sXvAOmXgjR2QUqLK1MltU,227707,4,0.736,0.964,0,-2.147,1,0.129,0.198,2.32e-06,0.336,0.953,179.935
global,58,1,1,2017,global,806283,Jonas Blue,Perfect Strangers,5bZtRlMBU76vHuDOb1GM5u,195313,4,0.7390000000000001,0.833,1,-5.012,1,0.0463,0.35,0.0,0.266,0.6990000000000001,117.99
global,59,1,1,2017,global,788804,Desiigner,Panda,5OOkp4U9P9oL23maHFHL1h,246761,4,0.5760000000000001,0.7659999999999999,10,-4.9430000000000005,0,0.449,0.028,1.68e-06,0.366,0.236,144.833
global,60,1,1,2017,global,786785,Drake,Too Good,11KJSRSgaDxqydKYiD2Jew,263373,4,0.804,0.648,7,-7.805,1,0.117,0.0573,3.4899999999999995e-05,0.102,0.392,117.983
global,61,1,1,2017,global,778773,Alessia Cara,"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,175517,4,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666
global,62,1,1,2017,global,770804,NEIKED,Sexual,3AsAuGTaDQzavZZThyYlop,188889,4,0.8029999999999999,0.569,2,-7.392,1,0.0739,0.0623,0.0,0.083,0.809,107.986
global,63,1,1,2017,global,762502,Ariana Grande,Into You,7yHEDfrJNd0zWOfXwydNH0,244453,4,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988
global,64,1,1,2017,global,758614,Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,0.7340000000000001,0.637,4,-5.6770000000000005,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
global,65,1,1,2017,global,748367,J. Cole,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,264747,4,0.653,0.409,9,-11.446,1,0.421,0.361,0.00012,0.189,0.187,174.324
global,66,1,1,2017,global,735912,Daddy Yankee,Shaky Shaky,58IL315gMSTD37DOZPJ2hf,234320,4,0.899,0.626,6,-4.228,0,0.292,0.076,0.0,0.0631,0.873,88.007
global,67,1,1,2017,global,713049,Alan Walker,Faded,7gHs73wELdeycvS48JfIos,212627,4,0.589,0.6509999999999999,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.01100000000002
global,68,1,1,2017,global,709411,Sia,The Greatest,7xHWNBFm6ObGEQPaUxHuKO,210227,4,0.6679999999999999,0.725,1,-6.127000000000002,1,0.266,0.0102,0.000479,0.0561,0.7290000000000001,191.944
global,69,1,1,2017,global,687222,Drake,Controlla,6F609ICg9Spjrw1epsAnpa,245227,5,0.607,0.476,10,-11.076,0,0.249,0.0773,0.0,0.113,0.34700000000000003,122.976
global,70,1,1,2017,global,686053,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,0L7loeTIg6akW84aEQZpCT,166138,4,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.7509999999999999,107.985
global,71,1,1,2017,global,685732,Sebastian Yatra,Traicionera,5J1c3M4EldCfNxXwrwt8mT,228467,4,0.7759999999999999,0.669,11,-4.933,1,0.0638,0.142,0.0,0.219,0.6609999999999999,91.012
global,72,1,1,2017,global,673320,21 Savage,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,258880,4,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004
global,73,1,1,2017,global,672465,Adele,Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,223080,4,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023
global,74,1,1,2017,global,672103,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,144244,4,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517
global,75,1,1,2017,global,666941,Enrique Iglesias,DUELE EL CORAZON,6YZdkObH88npeKrrkb8Ggf,200813,4,0.7240000000000001,0.904,8,-3.354,0,0.0966,0.0786,0.0,0.226,0.846,90.999
global,76,1,1,2017,global,655597,Coldplay,Hymn for the Weekend - Seeb Remix,1OAiWI2oPmglaOiv9fdioU,212647,4,0.565,0.8490000000000001,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.4270000000000001,102.034
global,77,1,1,2017,global,653547,gnash,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,251034,4,0.4920000000000001,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
global,78,1,1,2017,global,650717,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,243491,4,0.502,0.7859999999999999,9,-4.378,0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021
global,79,1,1,2017,global,647007,Martin Jensen,Solo Dance,6HUnnBwYZqcED1eQztxMBN,174933,4,0.7440000000000001,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965
global,80,1,1,2017,global,646550,Rob $tone,Chill Bill,5uDASfU19gDxSjW8cnCaBp,177184,4,0.8859999999999999,0.4270000000000001,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034
global,81,1,1,2017,global,640703,MC G15,Deu Onda,0EPxmvsG1BY5td4aTOkWBF,144039,4,0.931,0.604,0,-1.41,0,0.0573,0.456,0.0,0.0488,0.8640000000000001,129.92600000000002
global,82,1,1,2017,global,621355,Mike Perry,The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,183414,4,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
global,83,1,1,2017,global,618514,Rihanna,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,191600,4,0.6709999999999999,0.314,5,-8.091000000000001,0,0.244,0.11,0.0,0.0825,0.29600000000000004,110.898
global,84,1,1,2017,global,615851,Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O,200187,4,0.602,0.7070000000000001,11,-4.097,1,0.302,0.393,0.0,0.165,0.5539999999999999,75.09
global,85,1,1,2017,global,599513,The Chainsmokers,Setting Fires,0B8B8cVRFIG1yznoQe7c9s,247427,4,0.627,0.7170000000000001,8,-5.751,0,0.0376,0.017,0.0,0.261,0.561,105.05
global,86,1,1,2017,global,597051,Sia,The Greatest,6bLopGnirdrilrpdVB6Um1,210920,4,0.639,0.785,10,-6.167000000000002,0,0.174,0.0174,0.00107,0.0512,0.6859999999999999,191.95
global,87,1,1,2017,global,593676,Lukas Graham,7 Years,7129iqBafaphfc3WPCGC0L,237300,4,0.742,0.479,10,-5.83,1,0.0551,0.29,0.0,0.391,0.34600000000000003,119.951
